AccountID,CustomerID,AccountType,OpenDate,Status,BranchID,BalanceSnapshot,IFSCCode,AccountTier
1,5097,Recurring Deposit,16-11-24,Active,126,242604.94,BKID0003895,Platinum
2,5419,Recurring Deposit,19-01-25,Closed,170,23462.09,BKID0005338,Silver
3,22303,Recurring Deposit,06-11-24,Closed,65,206810.83,BKID0006651,Silver
4,2202,Recurring Deposit,18-09-24,Active,196,64554.76,BKID0008782,Platinum
5,13518,Loan,16-09-24,Active,46,234623.17,BKID0003817,Gold
6,4762,Current,09-06-24,Closed,12,245260.17,BKID0008031,Silver
7,20923,Current,11-08-24,Closed,186,286770.96,BKID0004149,Platinum
8,27582,Fixed Deposit,25-05-24,Active,176,271854.79,BKID0003854,Silver
9,4421,Fixed Deposit,24-04-24,Closed,59,256031.93,BKID0008390,Silver
10,17578,Fixed Deposit,10-01-25,Closed,165,146336.84,BKID0006457,Gold
11,6798,Fixed Deposit,23-04-24,Active,142,84664.99,BKID0001102,Silver
12,20447,Fixed Deposit,21-04-24,Active,143,489971.78,BKID0005201,Gold
13,17920,Current,04-09-24,Closed,149,302279.07,BKID0005162,Platinum
14,27570,Savings,03-12-24,Closed,81,63430.5,BKID0006009,Silver
15,16381,Loan,21-11-24,Closed,182,14121.47,BKID0004795,Silver
16,8617,Fixed Deposit,30-11-24,Closed,69,360843.15,BKID0003517,Gold
17,17728,Savings,11-07-24,Closed,62,144424.06,BKID0006471,Gold
18,18493,Loan,16-10-24,Active,106,314820.01,BKID0006165,Gold
19,6145,Loan,13-02-25,Closed,151,307172.21,BKID0007348,Platinum
20,20012,Current,20-11-24,Active,69,115629.9,BKID0003773,Gold
21,23546,Current,29-06-24,Closed,102,151872.27,BKID0009639,Platinum
22,14312,Current,25-07-24,Active,124,231545.58,BKID0002581,Silver
23,22395,Loan,04-03-25,Closed,159,56086.72,BKID0003674,Gold
24,24720,Savings,18-01-25,Closed,133,145189.52,BKID0008656,Silver
25,22911,Fixed Deposit,03-10-24,Active,148,464698.68,BKID0004558,Silver
26,10295,Recurring Deposit,25-09-24,Closed,24,29385.27,BKID0008955,Gold
27,1747,Fixed Deposit,05-01-25,Active,53,185655.13,BKID0002501,Platinum
28,7432,Savings,16-11-24,Active,132,455460.26,BKID0006956,Platinum
29,20655,Current,25-08-24,Closed,132,235790.23,BKID0001110,Gold
30,15080,Loan,20-01-25,Active,50,376142.16,BKID0001869,Platinum
31,13404,Recurring Deposit,29-04-24,Active,74,153417.78,BKID0008982,Silver
32,16233,Loan,03-09-24,Active,17,271292.86,BKID0008392,Silver
33,16149,Recurring Deposit,24-11-24,Active,126,495767.84,BKID0008880,Platinum
34,19283,Current,05-06-24,Active,191,147363.25,BKID0001514,Platinum
35,15539,Recurring Deposit,11-04-24,Active,102,325841.91,BKID0009961,Silver
36,14306,Current,03-11-24,Closed,138,482760.63,BKID0008871,Silver
37,8765,Current,06-10-24,Closed,172,300425.53,BKID0002007,Platinum
38,14330,Current,14-11-24,Active,51,401753.9,BKID0003426,Platinum
39,27380,Recurring Deposit,29-08-24,Active,7,492739.27,BKID0009319,Silver
40,29727,Fixed Deposit,20-08-24,Closed,153,194699.06,BKID0003493,Gold
41,5134,Savings,06-10-24,Active,64,379345.8,BKID0006661,Gold
42,24181,Current,20-05-24,Active,111,379646.91,BKID0009403,Platinum
43,26770,Savings,12-06-24,Active,103,6162.8,BKID0005258,Gold
44,5684,Recurring Deposit,19-03-25,Active,104,374762.37,BKID0003450,Platinum
45,14247,Recurring Deposit,22-08-24,Closed,32,52019.07,BKID0009792,Platinum
46,18461,Loan,07-07-24,Closed,62,76585.21,BKID0008072,Silver
47,17101,Recurring Deposit,13-08-24,Closed,192,433009.96,BKID0006726,Silver
48,7552,Current,12-01-25,Closed,7,131698.43,BKID0002925,Silver
49,21945,Current,11-11-24,Closed,113,483551.07,BKID0006410,Gold
50,28736,Savings,31-08-24,Closed,106,47658.33,BKID0006080,Gold
51,3697,Current,23-09-24,Closed,148,187474.63,BKID0005866,Platinum
52,13910,Current,09-04-24,Active,139,355827.14,BKID0001695,Platinum
53,14679,Recurring Deposit,07-12-24,Closed,183,499596.4,BKID0009089,Platinum
54,28719,Recurring Deposit,05-10-24,Closed,89,286780.04,BKID0005984,Silver
55,12921,Current,26-05-24,Closed,95,475807.85,BKID0009164,Gold
56,12238,Recurring Deposit,30-10-24,Closed,131,373072.09,BKID0001012,Platinum
57,29671,Recurring Deposit,15-11-24,Closed,36,442383.56,BKID0009337,Platinum
58,25904,Recurring Deposit,14-11-24,Closed,150,132227.72,BKID0004114,Platinum
59,17292,Current,10-03-25,Closed,112,410747.85,BKID0002241,Silver
60,27190,Current,29-08-24,Closed,31,466974.37,BKID0005437,Gold
61,8748,Savings,03-09-24,Closed,104,210124.61,BKID0007287,Gold
62,8606,Fixed Deposit,24-08-24,Closed,68,402376.5,BKID0002307,Silver
63,8695,Loan,13-05-24,Closed,91,22122.21,BKID0007771,Gold
64,15844,Recurring Deposit,01-03-25,Active,116,420163.51,BKID0004731,Silver
